post_id,author_id,comment
1,1,最近、PythonでWebアプリを開発し始めましたが、DjangoとFlaskのどちらがおすすめですか？
1,2,AI技術の進化が目覚ましいですね。これからの10年でどのような変化があると思いますか？
1,3,プログラミングの学習を始めたいと思っています。どの言語から始めるのが良いでしょうか？
2,1,ジムに通い始めましたが、筋トレの順番には注意すべき点がありますか？
2,2,朝食におすすめの健康的なレシピがあれば教えてください。
2,3,ウォーキングとジョギング、どちらがダイエットに効果的ですか？
3,1,最近観た映画でおすすめのものがあれば教えてください。
3,2,映画館でのマナーについて意見を聞かせてください。
3,3,オスカー受賞作品の中で、特に印象に残ったものは何ですか？
4,1,読書感想を交換しませんか？最近読んだ本で気に入ったものがあれば教えてください。
4,2,小説の中で一番好きな登場人物は誰ですか？
4,3,オーディオブックと電子書籍、どちらを利用していますか？
5,1,旅行先での思い出話を教えてください。
5,2,海外旅行での必需品を教えてください。
5,3,次に行きたい国や地域はどこですか？理由も教えてください。
6,1,お気に入りの料理やお店を教えてください。
6,2,スパイスを効かせた料理のレシピを教えてください。
6,3,家庭で簡単に作れるデザートのレシピを教えてください。
7,1,最近プレイしたゲームの感想を教えてください。
7,2,オンラインゲームで一緒にプレイしませんか？
7,3,懐かしいゲームを語りましょう。
8,1,お気に入りのアーティストや曲を教えてください。
8,2,音楽フェスティバルやライブに行った経験を教えてください。
8,3,最近の音楽トレンドについて意見を聞かせてください。
9,1,ペットの写真を共有しましょう。
9,2,ペットの健康管理についてのアドバイスがあれば教えてください。
9,3,どのようなペットと暮らしていますか？特徴を教えてください。
10,1,手作り作品の写真やアイデアを共有しましょう。
10,2,DIYで失敗した経験や学んだことを教えてください。
10,3,簡単に作れるDIYプロジェクトを教えてください。
11,1,転職活動の進捗やアドバイスを交換しましょう。
11,2,キャリアアップのために役立つ資格について教えてください。
11,3,効果的な自己PR方法を教えてください。
12,1,お気に入りのスポーツ選手やチームを教えてください。
12,2,最近のスポーツニュースや試合結果を共有しましょう。
12,3,スポーツ観戦のおすすめスポットを教えてください。
13,1,撮影スポットや写真撮影のコツを教えてください。
13,2,カメラの機種やレンズについて意見を聞かせてください。
13,3,自然や風景の写真を共有しましょう。
14,1,最近のファッショントレンドについて意見を聞かせてください。
14,2,メイクやスキンケアのアドバイスを教えてください。
14,3,お気に入りのブランドやショップを教えてください。