id,title,content,author_id
1,Tech Talk,最新の技術動向やプログラミング言語、フレームワークに関するディスカッションのための掲示板です。,1
2,Health and Fitness,健康、栄養、運動に関する情報やアドバイスを交換する掲示板です。,1
3,Movie Mania,映画の感想やおすすめ、予告編やニュースを共有する掲示板です。,3
4,Book Lovers,読書感想やおすすめの本、著者に関する情報を共有する掲示板です。,2
5,Travel Tales,旅行の思い出やアドバイス、おすすめの観光地を共有する掲示板です。,2
6,Foodie Forum,料理のレシピやおすすめのレストラン、食材に関する情報を交換する掲示板です。,3
7,Gaming Zone,ゲームのレビューや攻略法、最新のゲームニュースを共有する掲示板です。,2
8,Music Lounge,音楽の感想やおすすめの曲、アーティストに関する情報を共有する掲示板です。,1
9,Pet Lovers,ペットの写真や話題、飼育に関するアドバイスを交換する掲示板です。,2
10,DIY Central,手作りやDIYのアイデア、作品の写真や作り方を共有する掲示板です。,1
11,Career Corner,職業やキャリアに関するアドバイスや情報、求人情報を交換する掲示板です。,3
12,Sports Fans,スポーツの話題や試合結果、選手情報を共有する掲示板です。,1
13,Photography Club,写真の技術や撮影スポット、作品を共有する掲示板です。,2
14,Fashion and Beauty,ファッションや美容のトレンド、アドバイスを交換する掲示板です。,3